"","Year","NBA","EUROLEAGUE","EUROCUP","ACB","LEGA","BBL","FJE","NBL"
"22","2004 - 2005",32955,7458,7937,10337,11131,9197,9161,9197
"30","2005 - 2006",34040,7381,5000,10575,11895,9108,8854,9108
"38","2006 - 2007",33236,6882,4936,11189,10451,9435,9597,9435
"46","2007 - 2008",37156,7914,10713,11685,11071,9635,9046,9635
"54","2008 - 2009",37104,6264,5082,10647,9408,10787,9193,10787
"62","2009 - 2010",35793,6370,5651,11450,7860,10865,8399,10865
"70","2010 - 2011",33800,6000,4937,10904,8861,10003,7667,10003
"99","2011 - 2012",29492,5159,4455,11243,10080,10477,8429,10477
"144","2012 - 2013",39186,8413,4737,11085,9060,10459,7440,10459
"189","2013 - 2014",43755,8309,11739,11988,9297,10831,8145,10831
"234","2014 - 2015",40570,8749,9992,11832,10418,10459,11090,10459
"280","2015 - 2016",44117,8719,10560,12776,8740,11011,11564,11011
"327","2016 - 2017",62413,9016,5460,11553,8944,10299,10519,10299
"375","2017 - 2018",64061,9273,6789,12786,10113,12465,12068,12465
"424","2018 - 2019",71165,9673,7037,13270,10040,12591,11887,12591
"473","2019 - 2020",67763,12222,7331,11869,8456,10324,9585,10324
