"","Player","League","Season","Team","PER"
"4119","Kevin Garnett","NBA","2004 - 2005","MIN",20.59
"4123","Shaquille O'Neal","NBA","2004 - 2005","MIA",19.52
"4140","Tim Duncan","NBA","2004 - 2005","SAS",19.44
"4127","Shawn Marion","NBA","2004 - 2005","PHX",18.75
"4159","Steve Nash","NBA","2004 - 2005","PHX",18.71
"4110","LeBron James","NBA","2004 - 2005","CLE",18.35
"5335","Shawn Marion","NBA","2005 - 2006","PHX",20.98
"5351","Steve Nash","NBA","2005 - 2006","PHX",19.71
"5339","Kevin Garnett","NBA","2005 - 2006","MIN",19.23
"5333","Elton Brand","NBA","2005 - 2006","LAC",19.18
"5324","LeBron James","NBA","2005 - 2006","CLE",18
"5372","Shaquille O'Neal","NBA","2005 - 2006","MIA",17.77
"6572","Steve Nash","NBA","2006 - 2007","PHX",20.64
"6563","Carlos Boozer","NBA","2006 - 2007","UTA",19.53
"6560","Tim Duncan","NBA","2006 - 2007","SAS",18.88
"6574","Shawn Marion","NBA","2006 - 2007","PHX",18.32
"6550","Dirk Nowitzki","NBA","2006 - 2007","DAL",17.69
"6557","Elton Brand","NBA","2006 - 2007","LAC",17.19
"7955","Chris Paul","NBA","2007 - 2008","NOP",22.62
"7942","LeBron James","NBA","2007 - 2008","CLE",20.17
"7944","Amar'e Stoudemire","NBA","2007 - 2008","PHX",20.11
"7983","Kevin Garnett","NBA","2007 - 2008","BOS",20.06
"7981","Steve Nash","NBA","2007 - 2008","PHX",19.05
"8018","Jose Calderon","NBA","2007 - 2008","TOR",18.41
"9262","Chris Paul","NBA","2008 - 2009","NOP",21.83
"9257","LeBron James","NBA","2008 - 2009","CLE",21.8
"9256","Dwyane Wade","NBA","2008 - 2009","MIA",20.94
"9258","Kobe Bryant","NBA","2008 - 2009","LAL",17.96
"9275","Pau Gasol","NBA","2008 - 2009","LAL",17.85
"9283","Tim Duncan","NBA","2008 - 2009","SAS",17.6
"10563","LeBron James","NBA","2009 - 2010","CLE",22.04
"10592","Tim Duncan","NBA","2009 - 2010","SAS",19.77
"10598","Steve Nash","NBA","2009 - 2010","PHX",19.04
"10572","David Lee","NBA","2009 - 2010","NYK",18.74
"10564","Dwyane Wade","NBA","2009 - 2010","MIA",18.19
"10580","Carlos Boozer","NBA","2009 - 2010","UTA",17.92
"11851","LeBron James","NBA","2010 - 2011","MIA",19.13
"11920","Tim Duncan","NBA","2010 - 2011","SAS",18.11
"11894","Al Horford","NBA","2010 - 2011","ATL",17.85
"11870","Kevin Love","NBA","2010 - 2011","MIN",17.84
"11866","Pau Gasol","NBA","2010 - 2011","LAL",17.68
"11888","Chris Paul","NBA","2010 - 2011","NOP",17.51
"14706","LeBron James","NBA","2011 - 2012","MIA",21.64
"14717","Chris Paul","NBA","2011 - 2012","LAC",20.1
"14720","Al Jefferson","NBA","2011 - 2012","UTA",19.14
"14865","Manu Ginobili","NBA","2011 - 2012","SAS",18.63
"14730","Dwyane Wade","NBA","2011 - 2012","MIA",18.39
"14710","Blake Griffin","NBA","2011 - 2012","LAC",17.51
"18720","LeBron James","NBA","2012 - 2013","MIA",24.77
"18758","Chris Paul","NBA","2012 - 2013","LAC",20.7
"18756","Tim Duncan","NBA","2012 - 2013","SAS",19.96
"18718","Kevin Durant","NBA","2012 - 2013","OKC",18.4
"18748","Al Horford","NBA","2012 - 2013","ATL",18.12
"18743","Tony Parker","NBA","2012 - 2013","SAS",18.04
"22843","LeBron James","NBA","2013 - 2014","MIA",21.91
"22887","Chris Paul","NBA","2013 - 2014","LAC",20.97
"22898","Andre Drummond","NBA","2013 - 2014","DET",20.48
"22841","Kevin Durant","NBA","2013 - 2014","OKC",20.22
"22846","Stephen Curry","NBA","2013 - 2014","GSW",20.2
"22844","Kevin Love","NBA","2013 - 2014","MIN",20.14
"26814","Stephen Curry","NBA","2014 - 2015","GSW",24.68
"26820","Anthony Davis","NBA","2014 - 2015","NOP",23.18
"26822","Chris Paul","NBA","2014 - 2015","LAC",22.01
"26850","Al Horford","NBA","2014 - 2015","ATL",20.15
"26816","LeBron James","NBA","2014 - 2015","CLE",18.84
"26854","Andre Drummond","NBA","2014 - 2015","DET",18.81
"31086","Stephen Curry","NBA","2015 - 2016","GSW",28.6
"31088","LeBron James","NBA","2015 - 2016","CLE",21.8
"31108","Chris Paul","NBA","2015 - 2016","LAC",21.72
"31087","Kevin Durant","NBA","2015 - 2016","OKC",21.46
"31090","Russell Westbrook","NBA","2015 - 2016","OKC",21.06
"31103","Kawhi Leonard","NBA","2015 - 2016","SAS",20.93
"35486","JaVale McGee","NBA","2016 - 2017","GSW",25.25
"35320","Nikola Jokic","NBA","2016 - 2017","DEN",24.84
"35304","Kevin Durant","NBA","2016 - 2017","GSW",24.49
"35287","Stephen Curry","NBA","2016 - 2017","GSW",23.15
"35288","LeBron James","NBA","2016 - 2017","CLE",23.1
"35338","Chris Paul","NBA","2016 - 2017","LAC",22.46
"39940","LeBron James","NBA","2017 - 2018","CLE",25.39
"39968","Stephen Curry","NBA","2017 - 2018","GSW",24.56
"39942","Anthony Davis","NBA","2017 - 2018","NOP",24.28
"39948","Kevin Durant","NBA","2017 - 2018","GSW",22.87
"40001","Clint Capela","NBA","2017 - 2018","HOU",22.74
"40192","JaVale McGee","NBA","2017 - 2018","GSW",22.06
"45062","Anthony Davis","NBA","2018 - 2019","NOP",27.15
"45035","Giannis Antetokounmpo","NBA","2018 - 2019","MIL",26.68
"45047","Nikola Vucevic","NBA","2018 - 2019","ORL",25.83
"45050","Nikola Jokic","NBA","2018 - 2019","DEN",24.74
"45056","LeBron James","NBA","2018 - 2019","LAL",24.13
"45036","Stephen Curry","NBA","2018 - 2019","GSW",24.1
"51700","Giannis Antetokounmpo","NBA","2019 - 2020","MIL",28.99
"51704","LeBron James","NBA","2019 - 2020","LAL",24.72
"51769","Karl-Anthony Towns","NBA","2019 - 2020","MIN",24.27
"51753","Hassan Whiteside","NBA","2019 - 2020","POR",23.56
"51714","Nikola Jokic","NBA","2019 - 2020","DEN",23.26
"51752","Jonas Valanciunas","NBA","2019 - 2020","MEM",22.55
